연번,업체코드,분야,업체명,소재지,대표자,선정년도,23년배정인원,관할청
151,219900070,대학부설연구기관,고려대학교 생명공학연구소,서울특별시 성북구 안암로 145,고제상,1990,배정제한,서울
152,220210130,중견기업부설연구소,(주)에스디생명공학 중앙연구소 피 부과학연구센터,"서울특별시 강서구 마곡중앙8 로1길 66, 3층, 4층, 5층 (마곡 동)",박설웅,2021,미신청,서울
153,220180437,중견기업부설연구소,(주)야놀자 기업부설연구소,"서울특별시 강남구 테헤란로 108길 42, 엠디엠타워 4층(일 부), 5층(전체)(대치동)","이수진, 배보찬, 김종윤",2018,1,서울
154,219990206,중견기업부설연구소,(주)안랩부설안티바이러스연구소,"경기도 성남시 분당구 판교역 로 220 - 0 (6,7,8,9층, 삼평동)",강석균,1996,미신청,경인
155,220190170,중견기업부설연구소,(주)아이티엠반도체 부설연구소,충청북도 청주시 흥덕구 옥산 면 과학산업1로 82-7,나혁휘,2019,2,충북
156,220200250,대학부설연구기관,서울과학기술대학교 전기정보기술 연구소,"서울특별시 노원구 공릉로 서 울특별시 노원구 공릉로 232, 테크노큐브동 517호",이영일,2020,배정제한,서울
157,220140275,중견기업부설연구소,(주)아이센스부설연구소,"서울특별시 서초구 반포대로 28길 43, 지하1,2층 지상 2,4,6,7층 (서초동, 아이센스빌 딩)","차근식, 남학현",2014,1,서울
158,219980157,중견기업부설연구소,(주)쓰리디시스템즈코리아 이노베 이션R&D센터,"서울특별시 강남구 선릉로 525(역삼동,인포스톰빌딩 4,5 층)","앤드루마틴존슨, 정원웅",1998,1,서울
159,220190157,중견기업부설연구소,(주)쏘카부설R&D연구소,"서울특별시 성동구 왕십리로 83-21, 5층(성수동1가, 아크로 서울포레스트)",박재욱,2019,1,서울
160,220200442,중견기업부설연구소,(주)실리콘마이터스 선행기술연구 소,"경기도 성남시 분당구 대왕판 교로 660 유스페이스1 A동 801 호, 802호",허염,2020,1,경인
161,220180267,중견기업부설연구소,(주)실리콘마이터스 부설연구소,경기도 성남시 분당구 대왕판 교로 660 A동 805~809호(유스 페이스),허염,2018,1,경인
162,220190355,중견기업부설연구소,(주)시노펙스 기술연구소,경기도 화성시 동탄하나1길 54-42 (주)시노펙스동탄 사업 장 3층,손경익,2019,1,경인
163,220220292,중견기업부설연구소,(주)솔루엠스마트솔루션연구소,"경기도 용인시 기흥구 구성로 357, 용인테크노밸리 A동 5층 (청덕동)",전성호,2022,2,경인
164,220220291,중견기업부설연구소,(주)솔루엠Power연구소,"경기도 용인시 기흥구 구성로 357, 용인테크노밸리 A동 4층 (청덕동)",전성호,2022,2,경인
165,220120180,중견기업부설연구소,(주)삼양홀딩스 의약바이오연구소,"경기도 성남시 분당구 판교로 295, 지하 2층 6층, 지상 4층 5 층","이영준, 엄태웅",2012,1,경인
